test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
122,60000,700,20,100000,30097,29900,452929753,447019950,-2092816876,2069
123,60000,700,20,100000,29914,30083,447438655,452508486,-2088151332,2074
124,60000,700,20,100000,30154,29841,454646935,445257561,-2067104331,2057
125,60000,700,20,100000,29986,30006,449595091,450195021,-2100227907,2078
126,60000,700,20,100000,29940,30056,448216770,451696596,-2101252514,2078
127,60000,700,20,100000,30089,29904,452689005,447139560,-2092802944,2054
128,60000,700,20,100000,30077,29919,452328003,447588240,-2088731665,2066
129,60000,700,20,100000,30045,29952,451366035,448576128,-2086233968,2074
130,60000,750,20,100000,29872,30118,446183128,453562021,-2041908265,2103
131,60000,750,20,100000,29979,30017,449385210,450525153,-2051101385,2080
132,60000,750,20,100000,29916,30083,447498486,452508486,-2037822946,2094
133,60000,750,20,100000,29802,30191,444094503,455763336,-2030302393,2109
134,60000,750,20,100000,30138,29859,454164591,445794870,-2051294045,2102
135,60000,750,20,100000,29822,30167,444690753,455039028,-2065002854,2085
136,60000,750,20,100000,30055,29937,451666540,448126953,-2029804742,2082
137,60000,750,20,100000,29830,30161,444929365,454858041,-2039843044,2103
138,60000,750,20,100000,29906,30089,447199371,452689005,-2032580061,2093
139,60000,750,20,100000,29719,30279,441624340,458424060,-2044380187,2106
140,60000,800,20,100000,29871,30125,446153256,453772875,-2000368549,2104
141,60000,800,20,100000,30003,29990,450105006,449715045,-2004957555,2114
142,60000,800,20,100000,29953,30043,448606081,451305946,-2010859462,2121
143,60000,800,20,100000,30009,29986,450285045,449595091,-2019114039,2139
144,60000,800,20,100000,30177,29817,455340753,444541653,-2005472556,2094
145,60000,800,20,100000,29947,30051,448426378,451546326,-1990457842,2123
146,60000,800,20,100000,29930,30065,447917415,451967145,-1997336220,2098
147,60000,800,20,100000,30110,29884,453321105,446541670,-2019669637,2116
148,60000,800,20,100000,30063,29931,451907016,447947346,-2011515545,2109
149,60000,800,20,100000,30009,29985,450285045,449565105,-1979831616,2116
150,60000,850,20,100000,30082,29914,452478403,447438655,-1985901841,2156
151,60000,850,20,100000,29926,30068,447797701,452057346,-1984176546,2128
152,60000,850,20,100000,30001,29993,450045001,449805021,-1966406428,2128
153,60000,850,20,100000,29973,30020,449205351,450615210,-1984473180,2125
154,60000,850,20,100000,29955,30037,448665990,451125703,-1993475719,2117
155,60000,850,20,100000,29875,30120,446272750,453622260,-1984407297,2116
156,60000,850,20,100000,30005,29991,450165015,449745036,-1983303133,2105
157,60000,850,20,100000,30142,29853,454285153,445615731,-1996870390,2123
158,60000,850,20,100000,29966,30030,448995561,450915465,-1967485857,2105
159,60000,850,20,100000,30154,29839,454646935,445197880,-1994310256,2122
160,60000,900,20,100000,29977,30017,449325253,450525153,-1941909622,2161
161,60000,900,20,100000,29967,30031,449025528,450945496,-1942794827,2143
162,60000,900,20,100000,29957,30038,448725903,451155741,-1953027386,2144
163,60000,900,20,100000,29937,30059,448126953,451786770,-1948820264,2134
164,60000,900,20,100000,30271,29725,458181856,441802675,-1946594275,2121
165,60000,900,20,100000,30249,29743,457516125,442337896,-1948947008,2124
166,60000,900,20,100000,29788,30204,443677366,456155910,-1944529827,2170
167,60000,900,20,100000,29942,30048,448276653,451456176,-1960077323,2138
168,60000,900,20,100000,29953,30040,448606081,451215820,-1955883540,2125
169,60000,900,20,100000,29909,30087,447289095,452628828,-1942287233,2125
170,60000,950,20,100000,30049,29945,451486225,448366485,-1925897901,2148
171,60000,950,20,100000,30004,29988,450135010,449655066,-1905294901,2157
172,60000,950,20,100000,29981,30011,449445171,450345066,-1918014495,2163
173,60000,950,20,100000,29754,30242,442665135,457304403,-1914295377,2161
174,60000,950,20,100000,29876,30114,446302626,453441555,-1921280994,2139
175,60000,950,20,100000,30008,29987,450255036,449625078,-1928711249,2132
176,60000,950,20,100000,29924,30071,447737850,452147556,-1931146648,2153
177,60000,950,20,100000,30108,29886,453260886,446601441,-1946431780,2135
178,60000,950,20,100000,29999,29996,449985000,449895006,-1953755720,2188
179,60000,950,20,100000,29877,30118,446332503,453562021,-1921273037,2164
180,60000,1000,20,100000,29942,30051,448276653,451546326,-1921528707,2161
181,60000,1000,20,100000,30049,29944,451486225,448336540,-1893569875,2151
182,60000,1000,20,100000,29743,30249,442337896,457516125,-1894594608,2176
183,60000,1000,20,100000,30085,29908,452568655,447259186,-1909817419,2144
184,60000,1000,20,100000,30132,29864,453983778,445944180,-1915359824,2173
185,60000,1000,20,100000,29805,30189,444183915,455702955,-1915003947,2181
186,60000,1000,20,100000,30044,29952,451335990,448576128,-1926710629,2181
187,60000,1000,20,100000,30027,29966,450825378,448995561,-1889664569,2230
188,60000,1000,20,100000,29886,30107,446601441,453230778,-1893982923,2154
189,60000,1000,20,100000,29988,30008,449655066,450255036,-1919051538,2157
190,60000,1050,20,100000,30045,29945,451366035,448366485,-1892497523,2182
191,60000,1050,20,100000,29943,30053,448306596,451606431,-1869480071,2194
192,60000,1050,20,100000,29936,30059,448097016,451786770,-1890442363,2170
193,60000,1050,20,100000,29925,30071,447767775,452147556,-1880537842,2185
194,60000,1050,20,100000,30052,29937,451576378,448126953,-1879650927,2154
195,60000,1050,20,100000,30015,29980,450465120,449415190,-1874054917,2173
196,60000,1050,20,100000,30021,29975,450645231,449265300,-1877626218,2188
197,60000,1050,20,100000,30260,29731,457848930,441981046,-1895082527,2185
198,60000,1050,20,100000,30063,29932,451907016,447977278,-1893116682,2191
199,60000,1050,20,100000,30091,29904,452749186,447139560,-1870666555,2163
