test_number,num,cap,refill,K,num_neg,num_pos,sum_neg,sum_pos,total_fun,running_time
130,60000,600,280,100000,29987,30002,449625078,450075003,-876189374,1210
131,60000,600,280,100000,29945,30053,448366485,451606431,-487390311,1214
132,60000,600,280,100000,30163,29834,454918366,445048695,-733298946,1206
133,60000,600,280,100000,29982,30012,449475153,450375078,-393047485,1212
134,60000,600,280,100000,29898,30095,446960151,452869560,-97299884,1216
135,60000,600,280,100000,29891,30100,446750886,453020050,-376666555,1210
136,60000,600,280,100000,30135,29858,454074180,445765011,-879180582,1208
137,60000,600,280,100000,30009,29987,450285045,449625078,-344383437,1209
138,60000,600,280,100000,29931,30067,447947346,452027278,-579578102,1250
139,60000,600,280,100000,29924,30070,447737850,452117485,-532609356,1212
140,60000,600,300,100000,30098,29889,452959851,446691105,1494350127,1209
141,60000,600,300,100000,29885,30108,446571555,453260886,-2054207599,1210
142,60000,600,300,100000,30052,29940,451576378,448216770,2009793933,1250
143,60000,600,300,100000,30082,29911,452478403,447348916,1509894665,1209
144,60000,600,300,100000,29987,30010,449625078,450315055,-2127827468,1211
145,60000,600,300,100000,29884,30110,446541670,453321105,2105143581,1274
146,60000,600,300,100000,30045,29950,451366035,448516225,1800809919,1213
147,60000,600,300,100000,29766,30229,443022261,456911335,-1822205179,1351
148,60000,600,300,100000,29871,30121,446153256,453652381,-2029907593,1214
149,60000,600,300,100000,29948,30042,448456326,451275903,-1900992864,1206
150,60000,600,320,100000,29940,30054,448216770,451636485,-2002551444,1109
151,60000,600,320,100000,30099,29899,452989950,446990050,-1748449302,1103
152,60000,600,320,100000,30188,29805,455672766,444183915,-1925502496,1109
153,60000,600,320,100000,29945,30050,448366485,451516275,-1411370583,1133
154,60000,600,320,100000,29987,30008,449625078,450255036,-1334954136,1107
155,60000,600,320,100000,29920,30075,447618160,452267850,-1186505218,1108
156,60000,600,320,100000,29923,30072,447707926,452177628,-1273619178,1109
157,60000,600,320,100000,30015,29978,450465120,449355231,-1307102242,1113
158,60000,600,320,100000,30020,29971,450615210,449145406,-1654842810,1129
159,60000,600,320,100000,29974,30020,449235325,450615210,-1284267254,1115
160,60000,600,340,100000,29902,30093,447079753,452809371,-435516254,1155
161,60000,600,340,100000,29945,30050,448366485,451516275,-447629881,1106
162,60000,600,340,100000,29935,30058,448067080,451756711,-600875064,1110
163,60000,600,340,100000,30130,29865,453923515,445974045,-726998827,1101
164,60000,600,340,100000,29939,30052,448186830,451576378,-1104353143,1110
165,60000,600,340,100000,29930,30069,447917415,452087415,-146025438,1108
166,60000,600,340,100000,29990,30005,449715045,450165015,-718857537,1104
167,60000,600,340,100000,30062,29932,451876953,447977278,-830060745,1107
168,60000,600,340,100000,30006,29991,450195021,449745036,-485733586,1104
169,60000,600,340,100000,30208,29783,456276736,443528436,-1044967492,1102
170,60000,600,360,100000,29885,30107,446571555,453230778,1119716154,1108
171,60000,600,360,100000,29985,30005,449565105,450165015,713834259,1163
172,60000,600,360,100000,30030,29968,450915465,449055496,760301463,1153
173,60000,600,360,100000,30056,29938,451696596,448156891,384093585,1108
174,60000,600,360,100000,30176,29820,455310576,444631110,-266708243,1101
175,60000,600,360,100000,29937,30059,448126953,451786770,489918952,1188
176,60000,600,360,100000,29741,30255,442278411,457697640,946260007,1110
177,60000,600,360,100000,29793,30202,443826321,456095503,1359053554,1127
178,60000,600,360,100000,30152,29846,454586628,445406781,289274685,1101
179,60000,600,360,100000,30060,29933,451816830,448007211,135468625,1106
180,60000,600,380,100000,29910,30086,447319005,452598741,1777818046,1189
181,60000,600,380,100000,30093,29896,452809371,446900356,1356422821,1104
182,60000,600,380,100000,29999,29991,449985000,449745036,1696253551,1104
183,60000,600,380,100000,29892,30105,446780778,453170565,1993989056,1108
184,60000,600,380,100000,30051,29939,451546326,448186830,1344115810,1109
185,60000,600,380,100000,30166,29831,455008861,444959196,1033395722,1102
186,60000,600,380,100000,30045,29952,451366035,448576128,1706158904,1202
187,60000,600,380,100000,30046,29948,451396081,448456326,1143275219,1126
188,60000,600,380,100000,30071,29924,452147556,447737850,1038152047,1102
189,60000,600,380,100000,30234,29760,457062495,442843680,850028573,1128
190,60000,600,400,100000,30257,29739,457758153,442218930,2116141660,1105
191,60000,600,400,100000,30165,29828,454978695,444869706,-2104374377,1106
192,60000,600,400,100000,29842,30150,445287403,454526325,-1212624918,1136
193,60000,600,400,100000,30051,29944,451546326,448336540,-1604792389,1107
194,60000,600,400,100000,29998,30000,449955001,450015000,-2145597990,1107
195,60000,600,400,100000,29934,30062,448037145,451876953,-1976121163,1108
196,60000,600,400,100000,29811,30185,444362766,455582205,-1636931778,1106
197,60000,600,400,100000,30072,29920,452177628,447618160,-1825854558,1109
198,60000,600,400,100000,29887,30106,446631328,453200671,-1925659442,1108
199,60000,600,400,100000,30120,29878,453622260,446362381,1962983091,1105
200,60000,600,420,100000,29986,30007,449595091,450225028,-981970596,1142
201,60000,600,420,100000,29956,30036,448695946,451095666,-906785110,1105
202,60000,600,420,100000,29905,30092,447169465,452779278,-539259243,1252
203,60000,600,420,100000,29896,30096,446900356,452899656,-695938148,1113
204,60000,600,420,100000,29898,30094,446960151,452839465,-467563413,1109
205,60000,600,420,100000,29963,30032,448905666,450975528,-364849405,1111
206,60000,600,420,100000,29812,30180,444392578,455431290,-392044736,1114
207,60000,600,420,100000,29912,30081,447378828,452448321,-1273612780,1106
208,60000,600,420,100000,30050,29940,451516275,448216770,-1264423559,1103
209,60000,600,420,100000,30123,29869,453712626,446093515,-1152277258,1115
210,60000,600,440,100000,29786,30210,443617791,456337155,1218125571,1158
211,60000,600,440,100000,30195,29799,455884110,444005100,-624646849,1102
212,60000,600,440,100000,30032,29958,450975528,448755861,-178560255,1104
213,60000,600,440,100000,29841,30151,445257561,454556476,444412040,1110
214,60000,600,440,100000,29943,30052,448306596,451576378,22304503,1105
215,60000,600,440,100000,29850,30139,445526175,454194730,521763514,1128
216,60000,600,440,100000,29736,30256,442129716,457727896,708009222,1112
217,60000,600,440,100000,29851,30146,445556026,454405731,119182947,1109
218,60000,600,440,100000,29993,30002,449805021,450075003,128394332,1104
219,60000,600,440,100000,29990,30000,449715045,450015000,436152857,1109
220,60000,600,460,100000,30083,29913,452508486,447408741,921508253,1106
221,60000,600,460,100000,29766,30229,443022261,456911335,1516804822,1137
222,60000,600,460,100000,30343,29648,460363996,439516776,237576026,1099
223,60000,600,460,100000,29950,30045,448516225,451366035,1559980111,1137
224,60000,600,460,100000,30248,29743,457485876,442337896,388418703,1107
225,60000,600,460,100000,30077,29920,452328003,447618160,874423359,1107
226,60000,600,460,100000,29851,30141,445556026,454255011,1028409989,1109
227,60000,600,460,100000,30025,29971,450765325,449145406,1591422750,1104
228,60000,600,460,100000,30086,29910,452598741,447319005,1315112011,1108
229,60000,600,460,100000,30119,29878,453592140,446362381,815468997,1102
230,60000,600,480,100000,30012,29981,450375078,449445171,-1564143997,1134
231,60000,600,480,100000,29833,30158,445018861,454767561,-1893009037,1109
232,60000,600,480,100000,29945,30052,448366485,451576378,-1969964855,1108
233,60000,600,480,100000,29967,30027,449025528,450825378,-2124244346,1154
234,60000,600,480,100000,30097,29897,452929753,446930253,2034153946,1107
235,60000,600,480,100000,29928,30068,447857556,452057346,-1663891976,1105
236,60000,600,480,100000,29953,30042,448606081,451275903,-1687710423,1105
237,60000,600,480,100000,30027,29966,450825378,448995561,2101680870,1103
238,60000,600,480,100000,29989,30004,449685055,450135010,-2074319846,1103
239,60000,600,480,100000,29908,30081,447259186,452448321,-1766046253,1109
240,60000,600,500,100000,29980,30012,449415190,450375078,-886172830,1102
241,60000,600,500,100000,29939,30048,448186830,451456176,-1110825612,1108
242,60000,600,500,100000,29917,30078,447528403,452358081,-891553240,1144
243,60000,600,500,100000,30122,29874,453682503,446242875,-1574829920,1171
244,60000,600,500,100000,29916,30077,447498486,452328003,-892696893,1105
245,60000,600,500,100000,30013,29979,450405091,449385210,-875119685,1107
246,60000,600,500,100000,29962,30032,448875703,450975528,-822100655,1132
247,60000,600,500,100000,29981,30011,449445171,450345066,-1379896781,1114
248,60000,600,500,100000,30032,29963,450975528,448905666,-1034644334,1107
249,60000,600,500,100000,30094,29901,452839465,447049851,-862604947,1143
250,60000,600,520,100000,30184,29809,455552020,444303145,-554569584,1147
251,60000,600,520,100000,29893,30102,446810671,453080253,-82234176,1170
252,60000,600,520,100000,29975,30021,449265300,450645231,-278368233,1105
253,60000,600,520,100000,29888,30109,446661216,453290995,692157805,1104
254,60000,600,520,100000,30041,29954,451245861,448636035,238441761,1143
255,60000,600,520,100000,29985,30008,449565105,450255036,20713480,1150
256,60000,600,520,100000,29971,30027,449145406,450825378,428349074,1110
257,60000,600,520,100000,30004,29990,450135010,449715045,-217018524,1107
258,60000,600,520,100000,30047,29947,451426128,448426378,-887889068,1120
259,60000,600,520,100000,30015,29982,450465120,449475153,-418077273,1111
260,60000,600,540,100000,29923,30072,447707926,452177628,1132348605,1108
261,60000,600,540,100000,30066,29930,451997211,447917415,654949304,1103
262,60000,600,540,100000,30112,29882,453381328,446481903,466309988,1103
263,60000,600,540,100000,29930,30066,447917415,451997211,1159156452,1109
264,60000,600,540,100000,29762,30230,442903203,456941565,1476749547,1113
265,60000,600,540,100000,30082,29912,452478403,447378828,803076592,1106
266,60000,600,540,100000,30100,29894,453020050,446840565,677287870,1104
267,60000,600,540,100000,29984,30012,449535120,450375078,1261607738,1103
268,60000,600,540,100000,29882,30111,446481903,453351216,1038947290,1105
269,60000,600,540,100000,29839,30154,445197880,454646935,1139767298,1110
270,60000,600,560,100000,29829,30167,444899535,455039028,1884119503,1107
271,60000,600,560,100000,29816,30178,444511836,455370931,-1615532705,1116
272,60000,600,560,100000,30258,29735,457788411,442099980,545054151,1107
273,60000,600,560,100000,29928,30062,447857556,451876953,-2096914014,1171
274,60000,600,560,100000,29872,30124,446183128,453742750,-1481729715,1107
275,60000,600,560,100000,29872,30125,446183128,453772875,-1459870078,1107
